uri,name,dynasty,ocre,AV,AR,AE,worn,notes,year
http://nomisma.org/id/severus_ii,Severus II,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Severus II%22,http://numismatics.org/collectionimages/19001949/1944/1944.100.5959.obv.width350.jpg,,http://numismatics.org/collectionimages/19501999/1984/1984.146.1324.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n29/29754/vs_opt.jpg,AR images found in BM,305 AD- 307 AD
http://nomisma.org/id/maxentius,Maxentius,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Maxentius%22,http://ww2.smb.museum/mk_edit/images/n3/3501/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n3/3510/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n1/1134/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.1714.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.3010.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1954/1954.18.50.obv.width350.jpg,,307 AD- 312 AD
http://nomisma.org/id/maximinus_daia,Maximinus Daia,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Maximinus Daia%22,http://ww2.smb.museum/mk_edit/images/n31/31802/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n31/31814/vs_opt.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.1881.obv.width350.jpg,,http://numismatics.org/collectionimages/19501999/1984/1984.146.488.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n17/17767/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n34/34178/vs_opt.jpg,AR images found in BM,305 AD- 313 AD
http://nomisma.org/id/domitius_alexander,Domitius Alexander,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Domitius Alexander%22,http://ww2.smb.museum/mk_edit/images/n1/1508/vs_opt.jpg,,http://ww2.smb.museum/mk_edit/images/n36/36182/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1979/1979.153.1.obv.width350.jpg,,308 AD- 311 AD
http://nomisma.org/id/constantine_i,Constantine I,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Constantine I%22,http://ww2.smb.museum/mk_edit/images/n2/2589/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n0/463/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n30/30519/vs_opt.jpg|http://numismatics.org/collectionimages/19501999/1957/1957.172.648.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1967/1967.153.47.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n31/31563/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.5985.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1974/1974.136.48.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n34/34207/vs_opt.jpg,,305 AD- 337 AD/337 AD- 348 AD
http://nomisma.org/id/fausta,Fausta,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Fausta%22,http://ww2.smb.museum/mk_edit/images/n0/832/vs_opt.jpg,,http://numismatics.org/collectionimages/19501999/1984/1984.146.1541.obv.width350.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.6922.obv.width350.jpg,AR images found in BM are not shown in OCRE,307 AD- 328 AD
http://nomisma.org/id/licinius,Licinius,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Licinius%22,http://numismatics.org/collectionimages/19001949/1948/1948.19.289.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n1/1154/vs_opt.jpg,,http://numismatics.org/collectionimages/19501999/1984/1984.146.1361.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1905/1905.57.75.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n44/44285/vs_opt.jpg,AR images found in BM,308 AD- 337 AD
http://nomisma.org/id/valerius_valens,Valerius Valens,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Valerius Valens%22,,,http://ww2.smb.museum/mk_edit/images/n1/1509/vs_opt.jpg,,,316 AD- 317 AD
http://nomisma.org/id/crispus,Crispus,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Crispus%22,http://ww2.smb.museum/mk_edit/images/n38/38138/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n0/837/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.1245.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1984/1984.146.1629.obv.width350.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.7023.obv.width350.jpg,,317 AD- 327 AD
http://nomisma.org/id/sextus_martinianus,Martinianus,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Martinianus%22,,,,,AE images found in BM,321 AD- 324 AD
